r-1 Loss Function	0-1损失函数
Lagrange Multiplier	拉格朗日乘子
Language Model	语言模型
Language Modeling	语言模型化
Laplace Distribution	Laplace分布
Laplace Smoothing	拉普拉斯平滑
Laplacian Correction	拉普拉斯修正
Large Learning Step	大学习步骤
Las Vegas Method	拉斯维加斯方法
Latent	潜在
Latent Dirichlet Allocation	潜在狄利克雷分配
Latent Layer	潜层
Latent Semantic Analysis	潜在语义分析
Latent Semantic Indexing	潜在语义索引
Latent Variable	潜变量/隐变量
Law of Large Numbers	大数定律
Layer	层
Layer Normalization	层规范化
Layer-Wise	逐层的
Layer-Wise Adaptive Rate Scaling	逐层适应率缩放
Layer-Wise Normalization	逐层规范化
Layer-Wise Pretraining	逐层预训练
Layer-Wise Training	逐层训练
Lazy Learning	懒惰学习
Leaf Node	叶结点
Leaky Lelu Function	泄漏线性整流函数
Leaky Relu	泄漏修正线性单元/泄漏整流线性单元
Leaky Unit	渗漏单元
Learned	学成
Learned Approximate Inference	学习近似推断
Learner	学习器
Learning	学习
Learning Algorithm	学习算法
Learning By Analogy	类比学习
Learning Rate	学习率
Learning Rate Annealing	学习率退火
Learning Rate Decay	学习率衰减
Learning Rate Warmup	学习率预热
Learning To Learn	学习的学习
Learning Vector Quantization	学习向量量化
Least General Generalization	最小一般泛化
Least Mean Squares	最小均方
Least Square Method	最小二乘法
Least Squares Regression Tree	最小二乘回归树
Leave-One-Out Cross Validation	留一交叉验证
Leave-One-Out	留一法
Lebesgue-Integrable	勒贝格可积
Left Eigenvector	左特征向量
Left Singular Vector	左奇异向量
Leibniz's Rule	莱布尼兹法则
Lifelong Learning	终身学习
Likelihood	似然
Line Search	线搜索
Linear Auto-Regressive Network	线性自回归网络
Linear Chain	线性链
Linear Chain Conditional Random Field	线性链条件随机场
Linear Classification Model	线性分类模型
Linear Classifier	线性分类器
Linear Combination	线性组合
Linear Dependence	线性相关
Linear Discriminant Analysis	线性判别分析
Linear Factor Model	线性因子模型
Linear Mapping	线性映射
Linear Model	线性模型
Linear Programming	线性规划
Linear Regression	线性回归
Linear Scaling Rule	线性缩放规则
Linear Scan	线性扫描
Linear Space	线性空间
Linear Support Vector Machine	线性支持向量机
Linear Support Vector Machine In Linearly Separable Case	线性可分支持向量机
Linear Threshold Units	线性阈值单元
Linear Transformation	线性变换
Linearly Independent	线性无关
Linearly Separable	线性可分
Linearly Separable Data Set	线性可分数据集
Link Analysis	链接分析
Link Function	联系函数
Link Prediction	链接预测
Link Table	连接表
Linkage	连接
Linked Importance Sampling	链接重要采样
Lipschitz	Lipschitz
Lipschitz Constant	Lipschitz常数
Lipschitz Continuous	Lipschitz连续
Liquid State Machine	流体状态机
Local Conditional Probability Distribution	局部条件概率分布
Local Constancy Prior	局部不变性先验
Local Contrast Normalization	局部对比度规范化
Local Curvature	局部曲率
Local Descent	局部下降
Local Invariances	局部不变性
Local Kernel	局部核
Local Markov Property	局部马尔可夫性
Local Maxima	局部极大值
Local Maximum	局部极大点
Local Minima	局部极小
Local Minimizer	局部最小解
Local Minimum	局部极小
Local Representation	局部式表示/局部式表征
Local Response Normalization	局部响应规范化
Locally Linear Embedding	局部线性嵌入
Log Likelihood	对数似然函数
Log Linear Model	对数线性模型
Log-Likelihood	对数似然
Log-Likelihood Loss Function	对数似然损失函数
Log-Linear Regression	对数线性回归
Logarithmic Loss Function	对数损失函数
Logarithmic Scale	对数尺度
Logistic Distribution	对数几率分布
Logistic Function	对数几率函数
Logistic Loss	对率损失
Logistic Regression	对数几率回归
Logistic Sigmoid	对数几率Sigmoid
Logit	对数几率
Long Short Term Memory	长短期记忆
Long Short-Term Memory Network	长短期记忆网络
Long-Term Dependencies Problem	长程依赖问题
Long-Term Dependency	长期依赖
Long-Term Memory	长期记忆
Loop	环
Loopy Belief Propagation	环状信念传播
Loss	损失
Loss Function	损失函数
Low Rank Matrix Approximation	低秩矩阵近似
Lp Distance	Lp距离
Machine Learning Model	机器学习模型
Machine Learning	机器学习
Machine Translation	机器翻译
Macro Average	宏平均
Macro-F1	宏F1
Macro-P	宏查准率
Macron-R	宏查全率
Mahalanobis Distance	马哈拉诺比斯距离
Main Diagonal	主对角线
Majority Voting	绝对多数投票
Majority Voting Rule	多数表决规则
Manhattan Distance	曼哈顿距离
Manifold	流形
Manifold Assumption	流形假设
Manifold Learning	流形学习
Manifold Tangent Classifier	流形正切分类器
Margin	间隔
Margin Theory	间隔理论
Marginal Distribution	边缘分布
Marginal Independence	边缘独立性
Marginal Likelihood	边缘似然函数
Marginal Probability Distribution	边缘概率分布
Marginalization	边缘化
Markov Blanket	马尔可夫毯
Markov Chain	马尔可夫链
Markov Chain Monte Carlo	马尔可夫链蒙特卡罗
Markov Decision Process	马尔可夫决策过程
Markov Network	马尔可夫网络
Markov Process	马尔可夫过程
Markov Property	马尔可夫性质
Markov Random Field	马尔可夫随机场
Mask	掩码
Mask Language Modeling	掩码语言模型化
Masked Self-Attention	掩蔽自注意力
Mathematical Optimization	数学优化
Matrix	矩阵
Matrix Calculus	矩阵微积分
Matrix Completion	矩阵补全
Matrix Decomposition	矩阵分解
Matrix Inversion	逆矩阵
Matrix Product	矩阵乘积
Max Norm	最大范数
Max Pooling	最大汇聚
Maxima	极大值
Maximal Clique	最大团
Maximization	极大
Maximization Step	M步
Maximization-Maximization Algorithm	极大-极大算法
Maximum A Posteriori	最大后验
Maximum A Posteriori Estimation	最大后验估计
Maximum Entropy Model	最大熵模型
Maximum Likelihood	极大似然
Maximum Likelihood Estimation	极大似然估计
Maximum Likelihood Method	极大似然法
Maximum Margin	最大间隔
Maximum Mean Discrepancy	最大平均偏差
Maximum Posterior Probability Estimation	最大后验概率估计
Maximum Weighted Spanning Tree	最大带权生成树
Maxout	Maxout
Maxout Unit	Maxout单元
Mean	均值
Mean Absolute Error	平均绝对误差
Mean And Covariance RBM	均值和协方差RBM
Mean Filed	平均场
Mean Filter	均值滤波
Mean Pooling	平均汇聚
Mean Product of Student t-Distribution	学生 t 分布均值乘积
Mean Squared Error	均方误差
Mean-Covariance Restricted Boltzmann Machine	均值-协方差受限玻尔兹曼机
Mean-Field	平均场
Meanfield	均匀场
Measure Theory	测度论
Measure Zero	零测度
Median	中位数
Memory	记忆
Memory Augmented Neural Network	记忆增强神经网络
Memory Capacity	记忆容量
Memory Cell	记忆元
Memory Network	记忆网络
Memory Segment	记忆片段
Mercer Kernel	Mercer 核
Message	消息
Message Passing	消息传递
Message Passing Neural Network	消息传递神经网络
Meta-Learner	元学习器
Meta-Learning	元学习
Meta-Optimization	元优化
Meta-Rule	元规则
Metric	指标
Metric Learning	度量学习
Micro Average	微平均
Micro-F1	微F1
Micro-P	微査准率
Micro-R	微查全率
Min-Max Normalization	最小最大值规范化
Mini-Batch Gradient	小批量梯度
Mini-Batch Gradient Descent	小批量梯度下降法
Mini-Batch SGD	小批次随机梯度下降
Minibatch	小批量
Minibatch Stochastic	小批量随机
Minima	极小值
Minimal Description Length	最小描述长度
Minimax Game	极小极大博弈
Minimum	极小点
Minkowski Distance	闵可夫斯基距离
Misclassification Cost	误分类代价
Mixing	混合
Mixing Time	混合时间
Mixture Density Network	混合密度网络
Mixture Distribution	混合分布
Mixture of Experts	混合专家模型
Mixture-of-Gaussian	高斯混合
Modality	模态
Mode	峰值
Model	模型
Model Averaging	模型平均
Model Collapse	模型坍塌
Model Complexity	模型复杂度
Model Compression	模型压缩
Model Identifiability	模型可辨识性
Model Parallelism	模型并行
Model Parameter	模型参数
Model Predictive Control	模型预测控制
Model Selection	模型选择
Model-Agnostic Meta-Learning	模型无关的元学习
Model-Based Learning	有模型学习
Model-Based Reinforcement Learning	基于模型的强化学习
Model-Free Learning	免模型学习
Model-Free Reinforcement Learning	模型无关的强化学习
Moment	矩
Moment Matching	矩匹配
Momentum	动量
Momentum Method	动量法
Monte Carlo	蒙特卡罗
Monte Carlo Estimate	蒙特卡罗估计
Monte Carlo Integration	蒙特卡罗积分
Monte Carlo Method	蒙特卡罗方法
Moore's Law	摩尔定律
Moore-Penrose Pseudoinverse	Moore-Penrose 伪逆
Moral Graph	端正图/道德图
Moralization	道德化
Most General Unifier	最一般合一置换
Moving Average	移动平均
Multi-Armed Bandit Problem	多臂赌博机问题
Multi-Class Classification	多分类
Multi-Classifier System	多分类器系统
Multi-Document Summarization	多文档摘要
Multi-Head Attention	多头注意力
Multi-Head Self-Attention	多头自注意力
Multi-Hop	多跳
Multi-Kernel Learning	多核学习
Multi-Label Classification	多标签分类
Multi-Label Learning	多标记学习
Multi-Layer Feedforward Neural Networks	多层前馈神经网络
Multi-Layer Perceptron	多层感知机
Multi-Nominal Logistic Regression Model	多项对数几率回归模型
Multi-Prediction Deep Boltzmann Machine	多预测深度玻尔兹曼机
Multi-Response Linear Regression	多响应线性回归
Multi-View Learning	多视图学习
Multicollinearity	多重共线性
Multimodal	多峰值
Multimodal Learning	多模态学习
Multinomial Distribution	多项分布
Multinoulli Distribution	Multinoulli分布
Multinoulli Output Distribution	Multinoulli输出分布
Multiple Dimensional Scaling	多维缩放
Multiple Linear Regression	多元线性回归
Multitask Learning	多任务学习
Multivariate Decision Tree	多变量决策树
Multivariate Gaussian Distribution	多元高斯分布
Multivariate Normal Distribution	多元正态分布
Mutual Information	互信息
N-Gram	N元
N-Gram Feature	N元特征
N-Gram Model	N元模型
Naive Bayes Algorithm	朴素贝叶斯算法
Naive Bayes Classifier	朴素贝叶斯分类器
Naive Bayes	朴素贝叶斯
Named Entity Recognition	命名实体识别
Narrow Convolution	窄卷积
Nash Equilibrium	纳什均衡
Nash Reversion	纳什回归
Nats	奈特
Natural Exponential Decay	自然指数衰减
Natural Language Generation	自然语言生成
Natural Language Processing	自然语言处理
Nearest Neighbor	最近邻
Nearest Neighbor Classifier	最近邻分类器
Nearest Neighbor Graph	最近邻图
Nearest Neighbor Regression	最近邻回归
Nearest-Neighbor Search	最近邻搜索
Negative Class	负类
Negative Correlation	负相关法
Negative Definite	负定
Negative Log Likelihood	负对数似然函数
Negative Part Function	负部函数
Negative Phase	负相
Negative Sample	负例
Negative Sampling	负采样
Negative Semidefinite	半负定
Neighbourhood Component Analysis	近邻成分分析
Nesterov Accelerated Gradient	Nesterov加速梯度
Nesterov Momentum	Nesterov动量法
Net Activation	净活性值
Net Input	净输入
Network	网络
Network Capacity	网络容量
Neural Architecture Search	神经架构搜索
Neural Auto-Regressive Density Estimator	神经自回归密度估计器
Neural Auto-Regressive Network	神经自回归网络
Neural Language Model	神经语言模型
Neural Machine Translation	神经机器翻译
Neural Model	神经模型
Neural Network	神经网络
Neural Turing Machine	神经图灵机
Neurodynamics	神经动力学
Neuromorphic Computing	神经形态计算
Neuron	神经元
Newton Method	牛顿法
No Free Lunch Theorem	没有免费午餐定理
Node	结点
Noise	噪声
Noise Distribution	噪声分布
Noise-Contrastive Estimation	噪声对比估计
Nominal Attribute	列名属性
Non-Autoregressive Process	非自回归过程
Non-Convex Optimization	非凸优化
Non-Informative Prior	无信息先验
Non-Linear Model	非线性模型
Non-Linear Oscillation	非线性振荡
Non-Linear Support Vector Machine	非线性支持向量机
Non-Metric Distance	非度量距离
Non-Negative Matrix Factorization	非负矩阵分解
Non-Ordinal Attribute	无序属性
Non-Parametric	非参数
Non-Parametric Model	非参数化模型
Non-Probabilistic Model	非概率模型
Non-Saturating Game	非饱和博弈
Non-Separable	不可分
Nonconvex	非凸
Nondistributed	非分布式
Nondistributed Representation	非分布式表示
Nonlinear Autoregressive With Exogenous Inputs Model	有外部输入的非线性自回归模型
Nonlinear Conjugate Gradients	非线性共轭梯度
Nonlinear Independent Components Estimation	非线性独立成分估计
Nonlinear Programming	非线性规划
Nonparametric Density Estimation	非参数密度估计
Norm	范数
Norm-Preserving	范数保持性
Normal Distribution	正态分布
Normal Equation	正规方程
Normalization	规范化
Normalization Factor	规范化因子
Normalized	规范化的
Normalized Initialization	标准初始化
Nuclear Norm	核范数
Null Space	零空间
Number of Epochs	轮数
Numerator Layout	分子布局
Numeric Value	数值
Numerical Attribute	数值属性
Numerical Differentiation	数值微分
Numerical Method	数值方法
Numerical Optimization	数值优化
Object Detection	目标检测
Object Recognition	对象识别
Objective	目标
Objective Function	目标函数
Oblique Decision Tree	斜决策树
Observable Variable	观测变量
Observation Sequence	观测序列
Occam's Razor	奥卡姆剃刀
Odds	几率
Off-Policy	异策略
Offline Inference	离线推断
Offset	偏移量
Offset Vector	偏移向量
On-Policy	同策略
One-Shot Learning	单试学习
One-Dependent Estimator	独依赖估计
One-Hot	独热
Online	在线
Online Inference	在线推断
Online Learning	在线学习
Operation	操作
Operator	运算符
Optimal Capacity	最佳容量
Optimization	最优化
Optimization Landscape	优化地形
Optimizer	优化器
Ordered Rule	带序规则
Ordinal Attribute	有序属性
Origin	原点
Orthogonal	正交
Orthogonal Initialization	正交初始化
Orthogonal Matrix	正交矩阵
Orthonormal	标准正交
Out-Of-Bag Estimate	包外估计
Outer Product	外积
Outlier	异常点
Output	输出
Output Gate	输出门
Output Layer	输出层
Output Smearing	输出调制法
Output Space	输出空间
Over-Parameterized	过度参数化
Overcomplete	过完备
Overestimation	过估计
Overfitting	过拟合
Overfitting Regime	过拟合机制
Overflow	上溢
Oversampling	过采样
PAC Learning	PAC学习
Pac-Learnable	PAC可学习
Padding	填充
Paired t -Test	成对 t 检验
Pairwise	成对型
Pairwise Markov Property	成对马尔可夫性
Parallel Distributed Processing	分布式并行处理
Parallel Tempering	并行回火
Parameter	参数
Parameter Estimation	参数估计
Parameter Server	参数服务器
Parameter Sharing	参数共享
Parameter Space	参数空间
Parameter Tuning	调参
Parametric Case	有参情况
Parametric Density Estimation	参数密度估计
Parametric Model	参数化模型
Parametric ReLU	参数化修正线性单元/参数化整流线性单元
Parse Tree	解析树
Part-Of-Speech Tagging	词性标注
Partial Derivative	偏导数
Partially Observable Markov Decision Processes	部分可观测马尔可夫决策过程
Particle Swarm Optimization	粒子群优化算法
Partition	划分
Partition Function	配分函数
Path	路径
Pattern	模式
Pattern Recognition	模式识别
Penalty Term	罚项
Perceptron	感知机
Performance Measure	性能度量
Periodic	周期的
Permutation Invariant	置换不变性
Perplexity	困惑度
Persistent Contrastive Divergence	持续性对比散度
Phoneme	音素
Phonetic	语音
Pictorial Structure	图形结构
Piecewise	分段
Piecewise Constant Decay	分段常数衰减
Pipeline	流水线
Plate Notation	板块表示
Plug And Play Generative Network	即插即用生成网络
Plurality Voting	相对多数投票
Point Estimator	点估计
Pointer Network	指针网络
Polarity Detection	极性检测
Policy	策略
Policy Evaluation	策略评估 
Policy Gradient	策略梯度
Policy Improvement	策略改进
Policy Iteration	策略迭代
Policy Search	策略搜索
Polynomial Basis Function	多项式基函数
Polynomial Kernel Function	多项式核函数
Polysemy	一词多义性
Pool	汇聚
Pooling	汇聚
Pooling Function	汇聚函数
Pooling Layer	汇聚层
Poor Conditioning	病态条件
Position Embedding	位置嵌入
Positional Encoding	位置编码
Positive Class	正类
Positive Definite	正定
Positive Definite Kernel Function	正定核函数
Positive Definite Matrix	正定矩阵
Positive Part Function	正部函数
Positive Phase	正相
Positive Recurrent	正常返的
Positive Sample	正例
Positive Semidefinite	半正定
Positive-Semidefinite Matrix	半正定矩阵
Post-Hoc Test	后续检验
Post-Pruning	后剪枝
Posterior Distribution	后验分布
Posterior Inference	后验推断
Posterior Probability	后验概率
Potential Function	势函数
Power Method	幂法
PR Curve	P-R曲线
Pre-Trained Initialization	预训练初始化
Pre-Training	预训练
Precision	查准率/准确率
Precision Matrix	精度矩阵
Predictive Sparse Decomposition	预测稀疏分解
Prepruning	预剪枝
Pretrained Language Model	预训练语言模型
Primal Problem	主问题
Primary Visual Cortex	初级视觉皮层
Principal Component Analysis	主成分分析
Principle Of Multiple Explanations	多释原则
Prior	先验
Prior Knowledge	先验知识
Prior Probability	先验概率
Prior Probability Distribution	先验概率分布
Prior Pseudo-Counts	伪计数
Prior Shift	先验偏移
Priority Rule	优先级规则
Probabilistic Context-Free Grammar	概率上下文无关文法
Probabilistic Density Estimation	概率密度估计
Probabilistic Generative Model	概率生成模型
Probabilistic Graphical Model	概率图模型
Probabilistic Latent Semantic Analysis	概率潜在语义分析
Probabilistic Latent Semantic Indexing	概率潜在语义索引
Probabilistic Model	概率模型
Probabilistic PCA	概率PCA
Probabilistic Undirected Graphical Model	概率无向图模型
Probability	概率
Probability Density Function	概率密度函数
Probability Distribution	概率分布
Probability Mass Function	概率质量函数
Probability Model Estimation	概率模型估计
Probably Approximately Correct	概率近似正确
Product of Expert	专家之积
Product Rule	乘法法则
Properly PAC Learnable	恰PAC可学习
Proportional	成比例
Proposal Distribution	提议分布
Propositional Atom	原子命题
Propositional Rule	命题规则
Prototype-Based Clustering	原型聚类
Proximal Gradient Descent	近端梯度下降
Pruning	剪枝
Pseudo-Label	伪标记
Pseudolikelihood	伪似然
Q Function	Q函数
Q-Learning	Q学习
Q-Network	Q网络
Quadratic Loss Function	平方损失函数
Quadratic Programming	二次规划
Quadrature Pair	象限对
Quantized Neural Network	量子化神经网络
Quantum Computer	量子计算机
Quantum Computing	量子计算
Quantum Machine Learning	量子机器学习
Quantum Mechanics	量子力学
Quasi Newton Method	拟牛顿法
Quasi-Concave	拟凹
Query	查询
Query Vector	查询向量
Query-Key-Value	查询-键-值
Radial Basis Function	径向基函数
Random Access Memory	随机访问存储
Random Field	随机场
Random Forest Algorithm	随机森林算法
Random Forest	随机森林
Random Initialization	随机初始化
Random Sampling	随机采样
Random Search	随机搜索
Random Subspace	随机子空间
Random Variable	随机变量
Random Walk	随机游走
Range	值域
Rank	秩
Ratio Matching	比率匹配
Raw Feature	原始特征
Re-Balance	再平衡
Re-Sampling	重采样
Re-Weighting	重赋权
Readout Function	读出函数
Real-Time Recurrent Learning	实时循环学习
Recall	查全率/召回率
Recall-Oriented Understudy For Gisting Evaluation	ROUGE
Receiver Operating Characteristic	受试者工作特征
Receptive Field	感受野
Recirculation	再循环
Recognition Weight	认知权重
Recommender System	推荐系统
Reconstruction	重构
Reconstruction Error	重构误差
Rectangular Diagonal Matrix	矩形对角矩阵
Rectified Linear	整流线性
Rectified Linear Transformation	整流线性变换
Rectified Linear Unit	修正线性单元/整流线性单元
Rectifier Network	整流网络
Recurrence	循环
Recurrent Convolutional Network	循环卷积网络
Recurrent Multi-Layer Perceptron	循环多层感知器
Recurrent Network	循环网络
Recurrent Neural Network	循环神经网络
Recursive Neural Network	递归神经网络
Reducible	可约的
Redundant Feature	冗余特征
Reference Model	参考模型
Region	区域
Regression	回归
Regularization	正则化
Regularizer	正则化项
Reinforcement Learning	强化学习
Rejection Sampling	拒绝采样
Relation	关系
Relational Database	关系型数据库
Relative Entropy	相对熵
Relevant Feature	相关特征
Reparameterization	再参数化/重参数化
Reparametrization Trick	重参数化技巧
Replay Buffer	经验池
Representation	表示
Representation Learning	表示学习
Representational Capacity	表示容量
Representer Theorem	表示定理
Reproducing Kernel Hilbert Space	再生核希尔伯特空间
Rescaling	再缩放
Reservoir Computing	储层计算
Reset Gate	重置门
Residual Blocks	残差块
Residual Connection	残差连接
Residual Mapping	残差映射
Residual Network	残差网络
Residual Unit	残差单元
Residue Function	残差函数
Resolution Quotient	归结商
Restricted Boltzmann Machine	受限玻尔兹曼机
Restricted Isometry Property	限定等距性
Return	总回报
Reverse Correlation	反向相关
Reverse KL Divergence	逆向KL散度
Reverse Mode Accumulation	反向模式累加
Reversible Markov Chain	可逆马尔可夫链
Reward	奖励
Reward Function	奖励函数
Ridge Regression	岭回归
Riemann Integral	黎曼积分
Right Eigenvector	右特征向量
Right Singular Vector	右奇异向量
Risk	风险
Risk Function	风险函数
Robustness	稳健性
Root Node	根结点
Round-Off Error	舍入误差
Row	行
Rule Engine	规则引擎
Rule Learning	规则学习
S-Fold Cross Validation	S 折交叉验证
Saccade	扫视
Saddle Point	鞍点
Saddle-Free Newton Method	无鞍牛顿法
Saliency Map	显著图
Saliency-Based Attention	基于显著性的注意力
Same	相同
Sample	样本
Sample Complexity	样本复杂度
Sample Mean	样本均值
Sample Space	样本空间
Sample Variance	样本方差
Sampling	采样
Sampling Method	采样法
Saturate	饱和
Saturating Function	饱和函数
Scalar	标量
Scale Invariance	尺度不变性
Scatter Matrix	散布矩阵
Scheduled Sampling	计划采样
Score	得分
Score Function	评分函数
Score Matching	分数匹配
Second Derivative	二阶导数
Second Derivative Test	二阶导数测试
Second Layer	第二层
Second-Order Method	二阶方法
Selective Attention	选择性注意力
Selective Ensemble	选择性集成
Self Information	自信息
Self-Attention	自注意力
Self-Attention Model	自注意力模型
Self-Contrastive Estimation	自对比估计
Self-Driving	自动驾驶
Self-Gated	自门控
Self-Organizing Map	自组织映射网
Self-Taught Learning	自学习
Self-Training	自训练
Semantic Gap	语义鸿沟
Semantic Hashing	语义哈希
Semantic Segmentation	语义分割
Semantic Similarity	语义相似度
Semi-Definite Programming	半正定规划
Semi-Naive Bayes Classifiers	半朴素贝叶斯分类器
Semi-Restricted Boltzmann Machine	半受限玻尔兹曼机
Semi-Supervised	半监督
Semi-Supervised Clustering	半监督聚类
Semi-Supervised Learning	半监督学习
Semi-Supervised Support Vector Machine	半监督支持向量机
Sentiment Analysis	情感分析
Separable	可分离的
Separate	分离的
Separating Hyperplane	分离超平面
Separation	分离
Sequence Labeling	序列标注
Sequence To Sequence Learning	序列到序列学习
Sequence-To-Sequence	序列到序列
Sequential Covering	序贯覆盖
Sequential Minimal Optimization	序列最小最优化
Sequential Model-Based Optimization	时序模型优化
Sequential Partitioning	顺序分区
Setting	情景
Shadow Circuit	浅度回路
Shallow Learning	浅层学习
Shannon Entropy	香农熵
Shannons	香农
Shaping	塑造
Sharp Minima	尖锐最小值
Shattering	打散
Shift Invariance	平移不变性
Short-Term Memory	短期记忆
Shortcut Connection	直连边
Shortlist	短列表
Siamese Network	孪生网络
Sigmoid	Sigmoid（一种激活函数）
Sigmoid Belief Network	Sigmoid信念网络
Sigmoid Curve	S 形曲线
Sigmoid Function	Sigmoid函数
Sign Function	符号函数
Signed Distance	带符号距离
Similarity	相似度
Similarity Measure	相似度度量
Simple Cell	简单细胞
Simple Recurrent Network	简单循环网络
Simple Recurrent Neural Network	简单循环神经网络
Simplex	单纯形
Simulated Annealing	模拟退火
Simultaneous Localization And Mapping	即时定位与地图构建
Single Component Metropolis-Hastings	单分量Metropolis-Hastings
Single Linkage	单连接
Singular	奇异的
Singular Value	奇异值
Singular Value Decomposition	奇异值分解
Singular Vector	奇异向量
Size	大小
Skip Connection	跳跃连接
Skip-Gram Model	跳元模型
Skip-Gram Model With Negative Sampling	跳元模型加负采样
Slack Variable	松弛变量
Slow Feature Analysis	慢特征分析
Slowness Principle	慢性原则
Smoothing	平滑
Smoothness Prior	平滑先验
Soft Attention Mechanism	软性注意力机制
Soft Clustering	软聚类
Soft Margin	软间隔
Soft Margin Maximization	软间隔最大化
Soft Target	软目标
Soft Voting	软投票
Softmax	Softmax/软最大化
Softmax Function	Softmax函数/软最大化函数
Softmax Regression	Softmax回归/软最大化回归
Softmax Unit	Softmax单元/软最大化单元
Softplus	Softplus
Softplus Function	Softplus函数
Source Domain	源领域
Span	张成子空间
Sparse	稀疏
Sparse Activation	稀疏激活
Sparse Auto-Encoder	稀疏自编码器
Sparse Coding	稀疏编码
Sparse Connectivity	稀疏连接
Sparse Initialization	稀疏初始化
Sparse Interactions	稀疏交互
Sparse Representation	稀疏表示
Sparse Weights	稀疏权重
Sparsity	稀疏性
Specialization	特化
Spectral Clustering	谱聚类
Spectral Radius	谱半径
Speech Recognition	语音识别
Sphering	Sphering
Spike And Slab	尖峰和平板
Spike And Slab RBM	尖峰和平板RBM
Spiking Neural Nets	脉冲神经网络
Splitting Point	切分点
Splitting Variable	切分变量
Spurious Modes	虚假模态
Square	方阵
Square Loss	平方损失
Squared Euclidean Distance	欧氏距离平方
Squared Exponential	平方指数
Squashing Function	挤压函数
Stability	稳定性
Stability-Plasticity Dilemma	可塑性-稳定性窘境
Stable Base Learner	稳定基学习器
Stacked Auto-Encoder	堆叠自编码器
Stacked Deconvolutional Network	堆叠解卷积网络
Stacked Recurrent Neural Network	堆叠循环神经网络
Standard Basis	标准基
Standard Deviation	标准差
Standard Error	标准差
Standard Normal Distribution	标准正态分布
Standardization	标准化
State	状态
State Action Reward State Action	SARSA算法
State Sequence	状态序列
State Space	状态空间
State Value Function	状态值函数
State-Action Value Function	状态-动作值函数
Statement	声明
Static Computational Graph	静态计算图
Static Game	静态博弈
Stationary	平稳的
Stationary Distribution	平稳分布
Stationary Point	驻点
Statistic Efficiency	统计效率
Statistical Learning	统计学习
Statistical Learning Theory	统计学习理论
Statistical Machine Learning	统计机器学习
Statistical Relational Learning	统计关系学习
Statistical Simulation Method	统计模拟方法
Statistics	统计量
Status Feature Function	状态特征函数
Steepest Descent	最速下降法
Step Decay	阶梯衰减
Stochastic	随机
Stochastic Curriculum	随机课程
Stochastic Dynamical System	随机动力系统
Stochastic Gradient Ascent	随机梯度上升
Stochastic Gradient Descent	随机梯度下降
Stochastic Gradient Descent With Warm Restarts	带热重启的随机梯度下降
Stochastic Matrix	随机矩阵
Stochastic Maximum Likelihood	随机最大似然
Stochastic Neighbor Embedding	随机近邻嵌入
Stochastic Neural Network	随机神经网络
Stochastic Policy	随机性策略
Stochastic Process	随机过程
Stop Words	停用词
Stratified Sampling	分层采样
Stream	流
Stride	步幅
String Kernel Function	字符串核函数
Strong Classifier	强分类器
Strong Duality	强对偶性
Strongly Connected Graph	强连通图
Strongly Learnable	强可学习
Structural Risk	结构风险
Structural Risk Minimization	结构风险最小化
Structure Learning	结构学习
Structured Learning	结构化学习
Structured Probabilistic Model	结构化概率模型
Structured Variational Inference	结构化变分推断
Student Network	学生网络
Sub-Optimal	次最优
Subatomic	亚原子
Subsample	子采样
Subsampling	下采样
Subsampling Layer	子采样层
Subset Evaluation	子集评价
Subset Search	子集搜索
Subspace	子空间
Substitution	置换
Successive Halving	逐次减半
Sum Rule	求和法则
Sum-Product	和积
Sum-Product Network	和-积网络
Super-Parent	超父
Supervised	监督
Supervised Learning	监督学习
Supervised Learning Algorithm	监督学习算法
Supervised Model	监督模型
Supervised Pretraining	监督预训练
Support Vector	支持向量
Support Vector Expansion	支持向量展式
Support Vector Machine	支持向量机
Support Vector Regression	支持向量回归
Surrogat Loss	替代损失
Surrogate Function	替代函数
Surrogate Loss Function	代理损失函数
Symbol	符号
Symbolic Differentiation	符号微分
Symbolic Learning	符号学习
Symbolic Representation	符号表示
Symbolism	符号主义
Symmetric	对称
Symmetric Matrix	对称矩阵
Synonymy	多词一义性
Synset	同义词集
Synthetic Feature	合成特征
T-Distribution Stochastic Neighbour Embedding	T分布随机近邻嵌入
Tabular Value Function	表格值函数
Tagging	标注
Tangent Distance	切面距离
Tangent Plane	切平面
Tangent Propagation	正切传播
Target	目标
Target Domain	目标领域
Taylor	泰勒
Taylor's Formula	泰勒公式
Teacher Forcing	强制教学
Teacher Network	教师网络
Temperature	温度
Tempered Transition	回火转移
Tempering	回火
Temporal-Difference Learning	时序差分学习
Tensor	张量
Tensor Processing Units	张量处理单元
Term Frequency-Inverse Document Frequency	单词频率-逆文本频率
Terminal State	终止状态
Test Data	测试数据
Test Error	测试误差
Test Sample	测试样本
Test Set	测试集
The Collider Case	碰撞情况
Threshold	阈值
Threshold Logic Unit	阈值逻辑单元
Threshold-Moving	阈值移动
Tied Weight	捆绑权重
Tikhonov Regularization	Tikhonov正则化
Tiled Convolution	平铺卷积
Time Delay Neural Network	时延神经网络
Time Homogenous Markov Chain	时间齐次马尔可夫链
Time Step	时间步
Toeplitz Matrix	Toeplitz矩阵
Token	词元
Tokenize	词元化
Tokenization	词元化
Tokenizer	词元分析器
Tolerance	容差
Top-Down	自顶向下
Topic	话题
Topic Model	话题模型
